Symbol,Final Weighted Rating,DCF/P,PEG,Dividend Payout Ratio,P/FV,Unweighted Rating
FE,1.81,1.03,11.064,0.032,3.645,5.0
STOR,1.81,1.022,34.169,0.033,2.05,5.0
AAPL,1.809,1.042,1.355,0.015,10.666,5.0
EXPD,1.805,1.108,5.904,0.014,5.744,5.0
DRI,1.805,1.067,4.363,0.025,6.278,5.0
HASI,1.805,1.005,35.523,0.046,2.006,5.0
AOS,1.802,1.061,7.883,0.019,4.698,5.0
HTLD,1.801,1.052,26.766,0.004,2.529,5.0
FCPT,1.799,1.004,21.882,0.041,2.633,5.0
JBHT,1.798,1.004,5.21,0.009,5.412,5.0
DOV,1.798,1.033,6.016,0.018,5.281,5.0
BX,1.792,1.07,7.647,0.067,5.101,5.0
RHP,1.791,1.2,6.04,0.041,7.005,5.0
CMP,1.787,1.028,14.756,0.052,3.536,5.0
NXPI,1.784,1.045,17.016,0.01,3.429,5.0
LECO,1.783,1.046,4.179,0.021,6.936,5.0
ATR,1.783,1.039,9.598,0.013,4.53,5.0
HRL,1.781,1.027,12.56,0.019,3.931,5.0
GNRC,1.781,1.058,6.227,0.0,5.848,5.0
MWA,1.781,1.145,37.588,0.02,2.72,5.0
OKE,1.78,1.002,8.226,0.05,4.704,5.0
AAN,1.778,1.036,42.004,0.002,2.218,5.0
CTAS,1.777,1.005,3.261,0.01,7.633,5.0
TXRH,1.774,1.036,10.556,0.025,4.512,5.0
STAY,1.772,1.183,64.173,0.025,2.3,5.0
MED,1.77,1.098,2.789,0.034,9.826,5.0
XYL,1.768,1.061,11.264,0.013,4.659,5.0
CHE,1.768,1.001,2.383,0.003,9.285,5.0
TTEK,1.766,1.031,11.293,0.007,4.509,5.0
DEI,1.762,1.029,30.806,0.025,2.766,5.0
WM,1.762,1.087,6.261,0.018,6.707,5.0
APTV,1.762,1.031,5.9,0.0,6.355,5.0
CIO,1.762,1.227,375.999,0.082,1.07,5.0
HCKT,1.759,1.065,24.581,0.024,3.335,5.0
FLIR,1.754,1.064,19.789,0.013,3.796,5.0
ACN,1.749,1.058,4.036,0.015,8.518,5.0
WMS,1.748,1.006,17.384,0.018,3.825,5.0
CCMP,1.746,1.061,23.432,0.013,3.61,5.0
EXR,1.74,1.005,9.858,0.034,5.28,5.0
BCPC,1.739,1.021,16.2,0.005,4.244,5.0
FIZZ,1.734,1.083,5.824,0.051,7.945,5.0
NVDA,1.732,1.005,3.916,0.005,8.698,5.0
LVS,1.718,1.13,5.724,0.062,9.318,5.0
ACC,1.717,1.013,90.012,0.04,1.98,5.0
ENTG,1.716,1.058,13.935,0.006,5.427,5.0
PZN,1.712,1.157,23.783,0.068,4.92,5.0
VALU,1.711,1.024,14.506,0.03,5.18,5.0
WYNN,1.71,1.347,19.324,0.044,7.312,5.0
TPB,1.709,1.231,29.882,0.007,4.976,5.0
JKHY,1.708,1.008,7.629,0.012,7.085,5.0
RCII,1.708,1.084,51.665,0.01,3.054,5.0
ROST,1.702,1.046,5.244,0.011,9.287,5.0
CUBE,1.702,1.011,39.724,0.042,3.206,5.0
ESRT,1.698,1.09,135.016,0.031,1.999,5.0
CHDN,1.697,1.025,4.298,0.004,10.23,5.0
LOGI,1.694,1.087,19.392,0.018,5.347,5.0
MXIM,1.692,1.133,10.39,0.035,7.918,5.0
GHL,1.69,1.465,22.387,0.011,8.981,5.0
